adviceNum,explain,target,upTarget,downTarget,upGauge,downGauge,probability,notAppear,weight0,weight1,weight2,weight3,weight4,weight5,weight6,weight7,weight8,weight9,weight10,weight11,weight12,weight13,weight14
0,이번 연성에서 {0} 효과의 연성 확률 35% 상승,0,,,,,0.35,"1, 2, 4, 5",0.009530,0.008972,0.008972,0.008961,0.008961,0.007477,0.007595,0.0079,0.0079,0.007709,0.007835,0.007835,0.007835,0.007676,0.007801
0,이번 연성에서 {1} 효과의 연성 확률 35% 상승,1,,,,,0.35,"1, 2, 4, 5",0.009530,0.008972,0.008972,0.008961,0.008961,0.007477,0.007595,0.0079,0.0079,0.007709,0.007835,0.007835,0.007835,0.007676,0.007801
0,이번 연성에서 {2} 효과의 연성 확률 35% 상승,2,,,,,0.35,"1, 2, 4, 5",0.009530,0.008972,0.008972,0.008961,0.008961,0.007477,0.007595,0.0079,0.0079,0.007709,0.007835,0.007835,0.007835,0.007676,0.007801
0,이번 연성에서 {3} 효과의 연성 확률 35% 상승,3,,,,,0.35,"1, 2, 4, 5",0.009530,0.008972,0.008972,0.008961,0.008961,0.007477,0.007595,0.0079,0.0079,0.007709,0.007835,0.007835,0.007835,0.007676,0.007801
0,이번 연성에서 {4} 효과의 연성 확률 35% 상승,4,,,,,0.35,"1, 2, 4, 5",0.009530,0.008972,0.008972,0.008961,0.008961,0.007477,0.007595,0.0079,0.0079,0.007709,0.007835,0.007835,0.007835,0.007676,0.007801
0,이번 연성에서 선택한 효과의 연성 확률 35% 상승,pick,,,,,0.35,5,0.005295,0.004984,0.004984,0.004978,0.004978,0.004154,0.004219,0.004367,0.004367,0.004283,0.004353,0.004353,0.004353,0.004264,0.004334
0,이번 연성에서 {0} 효과의 연성 확률 70% 상승,0,,,,,0.70,"1, 2, 4, 5",0.002383,0.002243,0.002243,0.002240,0.002240,0.001869,0.001899,0.001965,0.001965,0.001927,0.001959,0.001959,0.001959,0.001919,0.0020
0,이번 연성에서 {1} 효과의 연성 확률 70% 상승,1,,,,,0.70,"1, 2, 4, 5",0.002383,0.002243,0.002243,0.002240,0.002240,0.001869,0.001899,0.001965,0.001965,0.001927,0.001959,0.001959,0.001959,0.001919,0.0020
0,이번 연성에서 {2} 효과의 연성 확률 70% 상승,2,,,,,0.70,"1, 2, 4, 5",0.002383,0.002243,0.002243,0.002240,0.002240,0.001869,0.001899,0.001965,0.001965,0.001927,0.001959,0.001959,0.001959,0.001919,0.0020
0,이번 연성에서 {3} 효과의 연성 확률 70% 상승,3,,,,,0.70,"1, 2, 4, 5",0.002383,0.002243,0.002243,0.002240,0.002240,0.001869,0.001899,0.001965,0.001965,0.001927,0.001959,0.001959,0.001959,0.001919,0.0020
0,이번 연성에서 {4} 효과의 연성 확률 70% 상승,4,,,,,0.70,"1, 2, 4, 5",0.002383,0.002243,0.002243,0.002240,0.002240,0.001869,0.001899,0.001965,0.001965,0.001927,0.001959,0.001959,0.001959,0.001919,0.0020
0,이번 연성에서 선택한 효과의 연성 확률 70% 상승,pick,,,,,0.70,5,0.001324,0.001246,0.001246,0.001245,0.001245,0.001038,0.001055,0.001092,0.001092,0.001071,0.001088,0.001088,0.001088,0.001066,0.001083
1,남은 모든 연성에서 {0} 효과의 연성 확률 5% 상승,0,,,,,0.05,"1, 2, 4, 5",0.009530,0.008972,0.008972,0.008961,0.008961,0.007477,0.007595,0.0079,0.0079,0.007709,0.007835,0.007835,0.007835,0.007676,0.007801
1,남은 모든 연성에서 {1} 효과의 연성 확률 5% 상승,1,,,,,0.05,"1, 2, 4, 5",0.009530,0.008972,0.008972,0.008961,0.008961,0.007477,0.007595,0.0079,0.0079,0.007709,0.007835,0.007835,0.007835,0.007676,0.007801
1,남은 모든 연성에서 {2} 효과의 연성 확률 5% 상승,2,,,,,0.05,"1, 2, 4, 5",0.009530,0.008972,0.008972,0.008961,0.008961,0.007477,0.007595,0.0079,0.0079,0.007709,0.007835,0.007835,0.007835,0.007676,0.007801
1,남은 모든 연성에서 {3} 효과의 연성 확률 5% 상승,3,,,,,0.05,"1, 2, 4, 5",0.009530,0.008972,0.008972,0.008961,0.008961,0.007477,0.007595,0.0079,0.0079,0.007709,0.007835,0.007835,0.007835,0.007676,0.007801
1,남은 모든 연성에서 {4} 효과의 연성 확률 5% 상승,4,,,,,0.05,"1, 2, 4, 5",0.009530,0.008972,0.008972,0.008961,0.008961,0.007477,0.007595,0.0079,0.0079,0.007709,0.007835,0.007835,0.007835,0.007676,0.007801
1,남은 모든 연성에서 선택한 효과의 연성 확률 5% 상승,pick,,,,,0.05,5,0.005295,0.004984,0.004984,0.004978,0.004978,0.004154,0.004219,0.004367,0.004367,0.004283,0.004353,0.004353,0.004353,0.004264,0.004334
1,남은 모든 연성에서 {0} 효과의 연성 확률 10% 상승,0,,,,,0.10,"1, 2, 4, 5",0.002383,0.002243,0.002243,0.002240,0.002240,0.001869,0.001899,0.001965,0.001965,0.001927,0.001959,0.001959,0.001959,0.001919,0.0020
1,남은 모든 연성에서 {1} 효과의 연성 확률 10% 상승,1,,,,,0.10,"1, 2, 4, 5",0.002383,0.002243,0.002243,0.002240,0.002240,0.001869,0.001899,0.001965,0.001965,0.001927,0.001959,0.001959,0.001959,0.001919,0.0020
1,남은 모든 연성에서 {2} 효과의 연성 확률 10% 상승,2,,,,,0.10,"1, 2, 4, 5",0.002383,0.002243,0.002243,0.002240,0.002240,0.001869,0.001899,0.001965,0.001965,0.001927,0.001959,0.001959,0.001959,0.001919,0.0020
1,남은 모든 연성에서 {3} 효과의 연성 확률 10% 상승,3,,,,,0.10,"1, 2, 4, 5",0.002383,0.002243,0.002243,0.002240,0.002240,0.001869,0.001899,0.001965,0.001965,0.001927,0.001959,0.001959,0.001959,0.001919,0.0020
1,남은 모든 연성에서 {4} 효과의 연성 확률 10% 상승,4,,,,,0.10,"1, 2, 4, 5",0.002383,0.002243,0.002243,0.002240,0.002240,0.001869,0.001899,0.001965,0.001965,0.001927,0.001959,0.001959,0.001959,0.001919,0.0020
1,남은 모든 연성에서 선택한 효과의 연성 확률 10% 상승,pick,,,,,0.10,5,0.001324,0.001246,0.001246,0.001245,0.001245,0.001038,0.001055,0.001092,0.001092,0.001071,0.001088,0.001088,0.001088,0.001066,0.001083
2,이번 연성에서 {0} 효과의 연성 확률 20% 하락,0,,,,,0.20,"1, 3, 4, 5",0.009530,0.008972,0.008972,0.008961,0.008961,0.007477,0.007595,0.0079,0.0079,0.007709,0.007835,0.007835,0.007835,0.007676,0.007801
2,이번 연성에서 {1} 효과의 연성 확률 20% 하락,1,,,,,0.20,"1, 3, 4, 5",0.009530,0.008972,0.008972,0.008961,0.008961,0.007477,0.007595,0.0079,0.0079,0.007709,0.007835,0.007835,0.007835,0.007676,0.007801
2,이번 연성에서 {2} 효과의 연성 확률 20% 하락,2,,,,,0.20,"1, 3, 4, 5",0.009530,0.008972,0.008972,0.008961,0.008961,0.007477,0.007595,0.0079,0.0079,0.007709,0.007835,0.007835,0.007835,0.007676,0.007801
2,이번 연성에서 {3} 효과의 연성 확률 20% 하락,3,,,,,0.20,"1, 3, 4, 5",0.009530,0.008972,0.008972,0.008961,0.008961,0.007477,0.007595,0.0079,0.0079,0.007709,0.007835,0.007835,0.007835,0.007676,0.007801
2,이번 연성에서 {4} 효과의 연성 확률 20% 하락,4,,,,,0.20,"1, 3, 4, 5",0.009530,0.008972,0.008972,0.008961,0.008961,0.007477,0.007595,0.0079,0.0079,0.007709,0.007835,0.007835,0.007835,0.007676,0.007801
2,이번 연성에서 선택한 효과의 연성 확률 20% 하락,pick,,,,,0.20,5,0.005295,0.004984,0.004984,0.004978,0.004978,0.004154,0.004219,0.004367,0.004367,0.004283,0.004353,0.004353,0.004353,0.004264,0.004334
2,이번 연성에서 {0} 효과의 연성 확률 40% 하락,0,,,,,0.40,"1, 3, 4, 5",0.002383,0.002243,0.002243,0.002240,0.002240,0.001869,0.001899,0.001965,0.001965,0.001927,0.001959,0.001959,0.001959,0.001919,0.0020
2,이번 연성에서 {1} 효과의 연성 확률 40% 하락,1,,,,,0.40,"1, 3, 4, 5",0.002383,0.002243,0.002243,0.002240,0.002240,0.001869,0.001899,0.001965,0.001965,0.001927,0.001959,0.001959,0.001959,0.001919,0.0020
2,이번 연성에서 {2} 효과의 연성 확률 40% 하락,2,,,,,0.40,"1, 3, 4, 5",0.002383,0.002243,0.002243,0.002240,0.002240,0.001869,0.001899,0.001965,0.001965,0.001927,0.001959,0.001959,0.001959,0.001919,0.0020
2,이번 연성에서 {3} 효과의 연성 확률 40% 하락,3,,,,,0.40,"1, 3, 4, 5",0.002383,0.002243,0.002243,0.002240,0.002240,0.001869,0.001899,0.001965,0.001965,0.001927,0.001959,0.001959,0.001959,0.001919,0.0020
2,이번 연성에서 {4} 효과의 연성 확률 40% 하락,4,,,,,0.40,"1, 3, 4, 5",0.002383,0.002243,0.002243,0.002240,0.002240,0.001869,0.001899,0.001965,0.001965,0.001927,0.001959,0.001959,0.001959,0.001919,0.0020
2,이번 연성에서 선택한 효과의 연성 확률 40% 하락,pick,,,,,0.40,5,0.001324,0.001246,0.001246,0.001245,0.001245,0.001038,0.001055,0.001092,0.001092,0.001071,0.001088,0.001088,0.001088,0.001066,0.001083
3,남은 모든 연성에서 {0} 효과의 연성 확률 5% 하락,0,,,,,0.05,"1, 3, 4, 5",0.009530,0.008972,0.008972,0.008961,0.008961,0.007477,0.007595,0.0079,0.0079,0.007709,0.007835,0.007835,0.007835,0.007676,0.007801
